chunk_10_table_1.csv,,,"If the case currently resides in a closed setting such as jails, penitentiaries, and mental institutions.",
chunk_10_table_1.csv,32,Specify closed setting if yes.,"Specify closed setting if yes. Closed setting includes prisons, residential facilities, retirement communities, care homes, camps, etc.",
chunk_10_table_1.csv,Contact Tracing,,,
chunk_10_table_1.csv,31,"History of Exposure to known probable and/or confirmed COVID-19 case 14 days before the onset of signs and symptoms, or if asymptomatic, 14 days before swabbing or specimen collection.","If the patient has history of Exposure to known probable and/or confirmed COVID- 19 case 14 days before the onset of signs and symptoms, or if asymptomatic, 14 days before swabbing or specimen collection, yes or no.",1. DOH AO 2020-0013: Inclusion of COVID- 19 in the List of Notifiable Diseases 2. DOH DM 2020-0436: Minimum Data Requirements of COVID-19-Related Information Systems 3. Included in the COVID-19 Case Investigation Form
chunk_10_table_1.csv,32,"If yes, date of last contact.",,
chunk_10_table_1.csv,33,"Exposure to place with known COVID-19 community transmission 14 days before the onset of signs and symptoms, or if asymptomatic, 14 days before swabbing or specimen collection","If the patient has history of exposure to place with known COVID-19 community transmission 14 days before the onset of signs and symptoms, or if asymptomatic, 14 days before swabbing or specimen collection, yes or no.",
chunk_10_table_1.csv,34,"If yes, date of visit.","If yes, date of visit.",
chunk_10_table_1.csv,35,"If yes, specify place and other details.","If yes, specify place, and provide details such as name of establishment, transport service, venue, location, etc.",
chunk_10_table_1.csv,COMPOSITE MEASURES FOR ESSENTIAL LGU ROLES FOR COVID-19 RESPONSE,,,
chunk_10_table_1.csv,36,Functional Local Epidemiologic Surveillance Unit (LESU),"Presence of all six components of an
organized ESU: 1. Direction: Executive Order/Ordinance on establishment of the ESU 2. ESU Staff composed of a Team Leader","DOH AO 2019-0027: Guidelines on the
Implementation of the Local Government Unit Health Scorecard"
chunk_11_table_1.csv,,,"· Numerator: Number of cases who tested positive for COVID-19 through laboratory confirmation at the national reference laboratory, subnational reference laboratory, or a DOH-certified laboratory testing facility . Denominator: Number of identified individuals who may have come into contact with the confirmed case two days prior to onset of illness of the confirmed COVID-19 case","Disease 2019 (COVID-19) Situation"" dated May 26, 2020"
